12879;REESTRUTURA«√O DE ARRANJO FÕSICO EM IND⁄STRIA DE M”VEIS COM FOCO NA MELHORIA DA QUALIDADE: ESTUDO DE CASO EM MARCENARIA DE NATAL/RN;ALINE DOS SANTOS BARBOSA, LEILTON CAVALCANTI DA SILVA, MICHELLE LUISE SOARES DA SILVA SILVEIRA, RENATA MICHELY DA SILVA NASCIMENTO, RODRIGO AUGUSTO DA SILVA PIMENTEL;IFRN;ENGENHARIAS;BANNER
12873;AVALIA«√O FÕSICO-QUÕMICA DE BEBIDA DE MARACUJ¡ (PASSIFLORA EDULIS F. FLAVICARPA) ELABORADA COM SORO DE LEITE;TATIANE  DE OLIVEIRA XAVIER MACHADO;IF SERT√O-PE;CI NCIAS AGR¡RIAS;BANNER
12870;AN¡LISE QUALIQUANTITATIVA DOS NÕVEIS DE RUÕDOS EMITIDOS NOS TRANSPORTES COLETIVOS DA CIDADE DE CAMPINA GRANDE-PB;ROMILDO  LIMA SOUZA;IFPB;CI NCIAS DA SA⁄DE;ORAL
12868;A ESCOLA E O RELACIONAMENTO HOMOAFETIVO;ELZA  SOUZA;IFPA;CI NCIAS SOCIAIS APLICADAS;BANNER
12866;PR¡TICAS DE LETRAMENTO DIGITAL E O USO DO BLOG EM AULAS DE LÕNGUA INGLESA: UM RELATO DE EXPERI NCIA;JANICE CHIANCA  ARA⁄JO SILVA, JOS… ANDR…  DANTAS PEREIRA, LÕVYA MARIA  GOMES DE MEDEIROS, MIRELLY KAROLINNY  DE MELO MEIRELES, PAULO VÕTOR  DE MEDEIROS BRITO;IFRN;LINGUÕSTICA, LETRAS E ARTES;BANNER
12864;ATIVIDADE DE FAUNA DO SOLO EM SISTEMAS CULTIVADOS NA ZONA DA MATA DE ALAGOAS;GÈSSICA FIGUEREDO MATIAS, JOVENTINO  FERNANDES MOREIRA, KAMILLA PINHEIRO CACHATE;IFAL;CI NCIAS AGR¡RIAS;BANNER
12860;JOGO ARREUG: ESTAT…GIA PARA ELUCIDA«√O DAS PROPRIEDADES PERI”DICAS;MERCIA  DE SOUSA BRITO;IFBA;ENGENHARIAS;BANNER
12856;AN¡LISE DO APEGO AFETIVO, DEPEND NCIA E IDENTIDADE NA COMUNIDADE INDÕGENA CAT⁄ DOS ELEOT…RIOS;JOSILENE  ALVES DE SOUZA, MARIA ANALICE ANTÙNIO DA  SILVA, M·RCIO MARREIRO DAS  CHAGAS, SÈRGIO  MARQUES J˙NIOR;IFRN;CI NCIAS SOCIAIS APLICADAS;BANNER
12843;PROFISSIONALIZA«√O OU QUALIDADE DE ENSINO: A BUSCA DOS ALUNOS PELO IFPB;CAROLINA NIC·CIA OLIVEIRA ROCHA, EDUARDA DE LIMA BARBOSA;IFPB;LINGUÕSTICA, LETRAS E ARTES;ORAL
12842;T…CNICA N√O DESTRUTIVA PARA ACOMPANHAMENTO DE FASE FERRITA;SR. RUFINO MARQUES;IFPB;ENGENHARIAS;BANNER
